source_id,title,url
SRC-001,The Bohemian Club's City Clubhouse,https://readtheplaque.com/plaque/the-bohemian-club-s-city-clubhouse?utm_source=chatgpt.com
SRC-002,Bohemian Club,https://en.wikipedia.org/wiki/Bohemian_Club?utm_source=chatgpt.com
SRC-003,"PCAD - Bohemian Club, Club House, Lower Nob Hill, San Francisco, CA",https://pcad.lib.washington.edu/building/19451/
SRC-004,Owls and Spiders – Public Art and Architecture from Around the World,https://artandarchitecture-sf.com/owls-and-spiders.html
SRC-005,"Bohemian Club | Famous Members, Bohemian Grove, Cultish Rituals, & History | Britannica",https://www.britannica.com/topic/The-Bohemian-Club
SRC-006,Read the Plaque - The Bohemian Club city clubhouse,https://readtheplaque.com/plaque/the-bohemian-club-s-city-clubhouse
SRC-007,Owls and Spiders,https://artandarchitecture-sf.com/owls-and-spiders.html?utm_source=chatgpt.com
SRC-008,Bohemian Grove,https://en.wikipedia.org/wiki/Bohemian_Grove?utm_source=chatgpt.com
SRC-009,Bohemian Club in San Francisco,https://www.atlasobscura.com/places/bohemian-club-skb?utm_source=chatgpt.com
SRC-010,"Collection of Bohemian Grove Photographs, 1890-1950 - OAC",https://oac.cdlib.org/findaid/ark%3A/13030/c8ng4w9j/?utm_source=chatgpt.com
SRC-011,"ArchiveGrid : Bohemian Club Collection, 1872-2009 1890-1970",https://researchworks.oclc.org/archivegrid/collection/data/1284838686?utm_source=chatgpt.com
SRC-012,Who Rules America: The Bohemian Grove & Social Cohesion,https://whorulesamerica.ucsc.edu/power/bohemian_grove.html
SRC-013,"Collection of Bohemian Grove Photographs, 1890-1950 - OAC",https://oac.cdlib.org/findaid/ark%3A/13030/c8ng4w9j/
SRC-014,Reagan Library Bohemian Grove/Bohemian Club file PDF,https://www.reaganlibrary.gov/public/2022-06/40-816-198416-B-bohemiangroveclub-2022.pdf
SRC-015,"Bohemian Club, San Francisco – misterdangerous",https://misterdangerous.wordpress.com/2023/06/13/bohemian-club-san-francisco/
SRC-016,"PCAD - Bohemian Club, Club House, Union Square, San Francisco, CA",https://pcad.lib.washington.edu/building/19462/
SRC-017,Grove guide with a list of camps and camp members,https://www.davidrumsey.com/luna/servlet/detail/RUMSEY~8~1~278294~90051684%3AText-Page--Grove-guide-with-a-list-?utm_source=chatgpt.com
SRC-018,"Bohemian Club Collection, 1872-2009, bulk 1890-1970 - OAC",https://oac.cdlib.org/findaid/ark%3A/13030/c84q829w/
SRC-019,"The Bohemian Club (June/July 1980, Volume 31, Issue 4) n:54136",https://www.americanheritage.com/bohemian-club
SRC-020,Text Page: Grove guide with a list of camps and camp members - David Rumsey Historical Map Collection,https://www.davidrumsey.com/luna/servlet/detail/RUMSEY~8~1~278294~90051684%3AText-Page--Grove-guide-with-a-list-
SRC-021,"A cartograph of the Bohemian Grove, Sonoma County, California - David Rumsey Historical Map Collection",https://www.davidrumsey.com/luna/servlet/detail/RUMSEY~8~1~278295~90051685%3AA-cartograph-of-the-Bohemian-Grove%2C
SRC-022,Bohemian Club headquarters before the fire destroyed ...,https://calisphere.org/item/79934674ee2d71d553bf89dba613a6be/?utm_source=chatgpt.com
SRC-023,1907 to 1912 - The Palace Hotel,https://www.thepalacehotelsf.com/1907_to_1912?utm_source=chatgpt.com
SRC-024,Ina Coolbrith & the Nob Hill Berth of the West Coast Bohemians,https://fernhilltours.com/2015/03/01/ina-coolbrith-the-nob-hill-berth-of-the-west-coast-bohemians/?utm_source=chatgpt.com
SRC-025,Historical Stories: The Elks Uncorked,https://www.elks.org/history/NewsStory.cfm?StoryID=71653&utm_source=chatgpt.com
SRC-026,Annals of the Bohemian Club | PDF,https://www.scribd.com/document/18262346/The-Bohemian-Club-Annals-Volume-1-Chapters-1-and-2?utm_source=chatgpt.com
